Image,Name,Team(s),Location,Capacity,Surface,Roof type,Opened,Ref(s)
,Acrisure Stadium,Pittsburgh Steelers,"Pittsburgh, Pennsylvania","68,400",Kentucky bluegrass,Open,2001,
,Allegiant Stadium,Las Vegas Raiders,"Paradise, Nevada","65,000",Bermuda grass,Fixed,2020,
,Arrowhead Stadium,Kansas City Chiefs,"Kansas City, Missouri","76,416",Bermuda grass,Open,1972,
,AT&T Stadium,Dallas Cowboys,"Arlington, Texas","80,000",Hellas Matrix Turf,Retractable,2009,
,Bank of America Stadium,Carolina Panthers,"Charlotte, North Carolina","74,867",FieldTurf,Open,1996,
,Caesars Superdome,New Orleans Saints,"New Orleans, Louisiana","73,208",FieldTurf Revolution 360,Fixed,1975,
,Empower Field at Mile High,Denver Broncos,"Denver, Colorado","76,125",Kentucky bluegrass,Open,2001,
,EverBank Stadium,Jacksonville Jaguars,"Jacksonville, Florida","67,838",Bermuda grass,Open,1995,
,Ford Field,Detroit Lions,"Detroit, Michigan","65,000",FieldTurf CORE,Fixed,2002,
,Gillette Stadium,New England Patriots,"Foxborough, Massachusetts","66,829",FieldTurf CORE,Open,2002,
,Hard Rock Stadium,Miami Dolphins,"Miami Gardens, Florida","65,326",Bermuda grass,Open,1987,
,Highmark Stadium,Buffalo Bills,"Orchard Park, New York","71,608",A-Turf Titan 50,Open,1973,
,Huntington Bank Field,Cleveland Browns,"Cleveland, Ohio","67,431",Kentucky bluegrass,Open,1999,
,Lambeau Field,Green Bay Packers,"Green Bay, Wisconsin","81,441",Kentucky bluegrass reinforced with SIS Grass.,Open,1957,
,Levi's Stadium,San Francisco 49ers,"Santa Clara, California","68,500",Bermuda grass–Perennial Ryegrass mixture,Open,2014,
,Lincoln Financial Field,Philadelphia Eagles,"Philadelphia, Pennsylvania","69,596",GrassMaster,Open,2003,
,Lucas Oil Stadium,Indianapolis Colts,"Indianapolis, Indiana","67,000",Hellas Matrix Turf,Retractable,2008,
,Lumen Field,Seattle Seahawks,"Seattle, Washington","69,000",FieldTurf Revolution 360,Open,2002,
,M&T Bank Stadium,Baltimore Ravens,"Baltimore, Maryland","71,008",Bermuda grass,Open,1998,
,Mercedes-Benz Stadium‡,Atlanta Falcons,"Atlanta, Georgia","71,000",FieldTurf Revolution,Retractable,2017,
,MetLife Stadium,"New York Giants
New York Jets","East Rutherford, New Jersey","82,500",FieldTurf Core,Open,2010,
,Nissan Stadium,Tennessee Titans,"Nashville, Tennessee","69,143",Matrix Helix Turf with organic infill,Open,1999,
,Northwest Stadium,Washington Commanders,"Landover, Maryland","62,000",Bermuda grass,Open,1997,
,NRG Stadium,Houston Texans,"Houston, Texas","72,220",Hellas Matrix Turf,Retractable,2002,
,Paycor Stadium,Cincinnati Bengals,"Cincinnati, Ohio","65,515",UBU Speed Series S5-M Synthetic Turf,Open,2000,
,Raymond James Stadium,Tampa Bay Buccaneers,"Tampa, Florida","69,218",Bermuda grass,Open,1998,
,SoFi Stadium,"Los Angeles Rams
Los Angeles Chargers","Inglewood, California","70,240",Hellas Matrix Turf,Fixed,2020,
,Soldier Field,Chicago Bears,"Chicago, Illinois","61,500",Bermuda grass,Open,1924,
,State Farm Stadium,Arizona Cardinals,"Glendale, Arizona","63,400",Bermuda grass,Retractable,2006,
,U.S. Bank Stadium,Minnesota Vikings,"Minneapolis, Minnesota","66,655",UBU Speed Series S5-M Synthetic Turf,Fixed,2016,
