Name,City,Location,Capacity,Surface,Roof type,Opened
AT&T Stadium,Arlington, TX,80000,Artificial turf,Retractable,2009
Acrisure Stadium,Pittsburgh, PA,68400,Grass,Open,2001
Alamo Dome,San Antonio, TX,64000,Artificial turf,Fixed,1993
Allegiant Stadium,Las Vegas, NV,65000,Artificial turf,Fixed,2020
Allianz Arena,Munich, Germany,75024,Hybrid grass,Retractable,2005
Alltel Stadium,Jacksonville, FL,67164,Grass,Open,1995
Alumni Stadium,Chestnut Hill, MA,44500,FieldTurf,Open,1957
Anaheim Stadium,Anaheim, CA,45050,Grass,Open,1966
Arrowhead Stadium,Kansas City, MO,76416,Grass,Open,1972
Atlanta-Fulton County Stadium,Atlanta, GA,60606,AstroTurf,Open,1965
Balboa Stadium,San Diego, CA,15000,Grass,Open,1914
Bank of America Stadium,Charlotte, NC,75523,Artificial turf,Open,1996
Busch Memorial Stadium,St. Louis, MO,50000,AstroTurf,Open,1966
Caesars Superdome,New Orleans, LA,73208,Artificial turf,Fixed,1975
Candlestick Park,San Francisco, CA,69732,Grass,Open,1960
CenturyLink Field,Seattle, WA,68740,Artificial turf,Open,2002
Cinergy Field,Cincinnati, OH,60389,AstroTurf,Open,1970
Cleveland Municipal Stadium,Cleveland, OH,78000,Grass,Open,1931
Corinthians Arena,São Paulo, Brazil,49205,Grass,Retractable,2014
Cotton Bowl,Dallas, TX,92100,Grass,Open,1930
Cowboys Stadium,Arlington, TX,80000,Artificial turf,Retractable,2009
Dignity Health Sports Park,Carson, CA,27000,Grass,Open,2003
Dolphin Stadium,Miami Gardens, FL,64767,Grass,Open,1987
Edward Jones Dome,St. Louis, MO,66965,Artificial turf,Fixed,1995
Empower Field at Mile High,Denver, CO,76125,Grass,Open,2001
Estadio Azteca,Mexico City, Mexico,87523,Grass,Open,1966
EverBank Field,Jacksonville, FL,67164,Grass,Open,1995
FedEx Field,Landover, MD,82000,Grass,Open,1997
Fenway Park,Boston, MA,37755,Grass,Open,1912
FirstEnergy Stadium,Cleveland, OH,67895,Grass,Open,1999
Ford Field,Detroit, MI,65000,Artificial turf,Fixed,2002
Foxboro Stadium,Foxborough, MA,60292,Grass,Open,1971
Frankfurt Stadium,Frankfurt, Germany,54697,Grass,Retractable,1925
Franklin Field,Philadelphia, PA,52593,Grass,Open,1895
GEHA Field at Arrowhead Stadium,Kansas City, MO,76416,Grass,Open,1972
Georgia Dome,Atlanta, GA,71228,Artificial turf,Fixed,1992
Giants Stadium,East Rutherford, NJ,80242,Artificial turf,Open,1976
Gillette Stadium,Foxborough, MA,65878,Artificial turf,Open,2002
Hard Rock Stadium,Miami Gardens, FL,65326,Grass,Open,1987
Harvard Stadium,Boston, MA,30323,FieldTurf,Open,1903
Heinz Field,Pittsburgh, PA,68400,Grass,Open,2001
Highmark Stadium,Orchard Park, NY,71608,Artificial turf,Open,1973
Houlihan's Stadium,Tampa, FL,74301,Grass,Open,1967
Houston Astrodome,Houston, TX,54816,AstroTurf,Fixed,1965
Hubert H. Humphrey Metrodome,Minneapolis, MN,64121,Artificial turf,Fixed,1982
Husky Stadium,Seattle, WA,70083,FieldTurf,Open,1920
Jack Murphy Stadium,San Diego, CA,70561,Grass,Open,1967
Joe Robbie Stadium,Miami Gardens, FL,65326,Grass,Open,1987
Kansas City Municipal Stadium,Kansas City, MO,35561,Grass,Open,1923
